ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742126::Name,1075850516::User Formatted Name  [read only],1075850737::Schema
1075839059::1362,Vehicle_MarketingCategory_View,View,Vehicle_MarketingCategory_View,Vehicle_MarketingCategory_View,Final
1075839059::1368,Condition_TradeIn_View,View,Condition_TradeIn_View,Condition_TradeIn_View,
